learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
2845000.0,699.994813035,7.157355445539206E-4,2845000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2845000.0,2815160.0,0.0051273499980210606,0.994872650001979,2845000.0,0.0,1395088.0,1970734.8834381555
2846000.0,700.339814621,7.159868036563145E-4,2846000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2846000.0,2815160.0,0.0051273499980210606,0.994872650001979,2846000.0,0.0,1395088.0,1970734.8834381555
2847000.0,700.58530071,7.161655872239133E-4,2847000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2847000.0,2815160.0,0.0051273499980210606,0.994872650001979,2847000.0,0.0,1395088.0,1970734.8834381555
2848000.0,700.848535873,7.163572971564407E-4,2848000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2848000.0,2815160.0,0.0051273499980210606,0.994872650001979,2848000.0,0.0,1395088.0,1970734.8834381555
2849000.0,701.210597458,7.16620980781531E-4,2849000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2849000.0,2815160.0,0.0051273499980210606,0.994872650001979,2849000.0,0.0,1395088.0,1970734.8834381555
2850000.0,701.532403862,7.168553472061933E-4,2850000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2850000.0,2815160.0,0.0051273499980210606,0.994872650001979,2850000.0,0.0,1395088.0,1970734.8834381555
2851000.0,701.886921569,7.171135367463527E-4,2851000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2851000.0,2815160.0,0.0051273499980210606,0.994872650001979,2851000.0,0.0,1395088.0,1970734.8834381555
2852000.0,702.167836289,7.173181224156964E-4,2852000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2852000.0,2815160.0,0.0051273499980210606,0.994872650001979,2852000.0,0.0,1395088.0,1970734.8834381555
2853000.0,702.43142163,7.175100873772251E-4,2853000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2853000.0,2815160.0,0.0051273499980210606,0.994872650001979,2853000.0,0.0,1395088.0,1970734.8834381555
2854000.0,702.714816163,7.177164790544649E-4,2854000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2854000.0,2815160.0,0.0051273499980210606,0.994872650001979,2854000.0,0.0,1395088.0,1970734.8834381555
2855000.0,702.949761774,7.178875861615819E-4,2855000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2855000.0,2815160.0,0.0051273499980210606,0.994872650001979,2855000.0,0.0,1395088.0,1970734.8834381555
2856000.0,703.238623339,7.180979593902372E-4,2856000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2856000.0,2815160.0,0.0051273499980210606,0.994872650001979,2856000.0,0.0,1395088.0,1970734.8834381555
2857000.0,703.584952799,7.183501855618936E-4,2857000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2857000.0,2815160.0,0.0051273499980210606,0.994872650001979,2857000.0,0.0,1395088.0,1970734.8834381555
2858000.0,703.816747633,7.185189980088323E-4,2858000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2858000.0,2815160.0,0.0051273499980210606,0.994872650001979,2858000.0,0.0,1395088.0,1970734.8834381555
2859000.0,704.150273324,7.187618994015985E-4,2859000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2859000.0,2815160.0,0.0051273499980210606,0.994872650001979,2859000.0,0.0,1395088.0,1970734.8834381555
2860000.0,704.486127467,7.190064965684807E-4,2860000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2860000.0,2815160.0,0.0051273499980210606,0.994872650001979,2860000.0,0.0,1395088.0,1970734.8834381555
2861000.0,704.757530841,7.192041552776146E-4,2861000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2861000.0,2815160.0,0.0051273499980210606,0.994872650001979,2861000.0,0.0,1395088.0,1970734.8834381555
2862000.0,705.106484647,7.194582927182248E-4,2862000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2862000.0,2815160.0,0.0051273499980210606,0.994872650001979,2862000.0,0.0,1395088.0,1970734.8834381555
2863000.0,705.423575738,7.196892250563207E-4,2863000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2863000.0,2815160.0,0.0051273499980210606,0.994872650001979,2863000.0,0.0,1395088.0,1970734.8834381555
2864000.0,705.731930593,7.199137949343447E-4,2864000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2864000.0,2815160.0,0.0051273499980210606,0.994872650001979,2864000.0,0.0,1395088.0,1970734.8834381555
2865000.0,706.019130446,7.20122957964895E-4,2865000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2865000.0,2815160.0,0.0051273499980210606,0.994872650001979,2865000.0,0.0,1395088.0,1970734.8834381555
2866000.0,706.344636339,7.20360018667854E-4,2866000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2866000.0,2815160.0,0.0051273499980210606,0.994872650001979,2866000.0,0.0,1395088.0,1970734.8834381555
2867000.0,706.582775813,7.205334518139897E-4,2867000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2867000.0,2815160.0,0.0051273499980210606,0.994872650001979,2867000.0,0.0,1395088.0,1970734.8834381555
