learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
35000.0,0.610789266,2.9908439420908687E-9,35000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,35000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.632509242,3.097199869180719E-9,36000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,36000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.654030385,3.2025821732771066E-9,37000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,37000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.675376076,3.307105343821976E-9,38000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,38000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.697053724,3.4132540039387016E-9,39000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,39000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.718792848,3.5197036927938462E-9,40000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,40000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,0.744112074,3.6436840210606657E-9,41000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,41000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,0.765658224,3.749188776612282E-9,42000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,42000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,0.786614661,3.851805892102421E-9,43000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,43000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,0.80644894,3.948928150948552E-9,44000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,44000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,0.81789387,4.004970392460625E-9,45000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,45000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,0.83178396,4.072985817492009E-9,46000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,46000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,0.84367237,4.13119964181549E-9,47000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,47000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,0.855020248,4.186766650047567E-9,48000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,48000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
