learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
30000.0,2.013730385,1.4085048561666988E-7,30000.0,0.8734368747499,0.2656805744713763,0.9997,0.3999039846375925,0.9625189551085805,2499.0,0.5,1.0,0.5000000000000925,30000.0,386904.0,0.5263157894736843,0.4736842105263157,30000.0,0.0,180960.0,253698.59938123426
31000.0,2.113512205,1.5162881118774826E-7,31000.0,0.8729616846738696,0.2661518661250515,0.9997,0.3999039846375925,0.8734368747499,2499.0,0.5,1.0,0.48333333333337475,31000.0,417544.0,0.5263157894736843,0.4736842105263157,31000.0,0.0,196280.0,275364.3511567901
32000.0,2.228863484,1.6712750974011294E-7,32000.0,0.9925136264968274,0.9437379318810598,0.9995,0.9811592630106613,0.8734368747499,72.52941176470588,0.9851344264977622,0.9998986212489862,0.8933333333333441,32000.0,519368.0,0.6990722982038855,0.3009277017961145,32000.0,0.0,247192.0,347364.7920443291
33000.0,2.378510108,1.855985848696219E-7,33000.0,0.9949979583503471,0.962356922490383,0.9994,0.9849154662729926,0.8734368747499,48.01960784313726,0.9900464610976935,0.999795835034708,0.9091743119265988,33000.0,477120.0,0.676454100661376,0.323545899338624,33000.0,0.0,226068.0,317490.9447527598
34000.0,2.444051401,1.9372573317436703E-7,34000.0,0.9949919534984267,0.9623552905630539,0.9994,0.9849154662729926,0.8734368747499,48.01960784313726,0.9900464610976935,0.999795835034708,0.9064220183486167,34000.0,479320.0,0.676454100661376,0.323545899338624,34000.0,0.0,227168.0,319046.5796713702
35000.0,2.507462181,2.0171848868245874E-7,35000.0,0.9974793731468012,0.9695087286076653,0.9995,0.9873991554409957,0.8734368747499,48.26108374384236,0.9924820137712103,0.9997958558742472,0.9197247706422113,35000.0,487232.0,0.676454100661376,0.323545899338624,35000.0,0.0,231124.0,324641.20852411824
36000.0,2.616141077,2.156762771676149E-7,36000.0,0.997479875964845,0.969508930779787,0.9995,0.9873991554409957,0.8734368747499,48.26108374384236,0.9924820137712103,0.9997958558742472,0.9174311926605601,36000.0,496448.0,0.676454100661376,0.323545899338624,36000.0,0.0,235732.0,331157.90461953345
37000.0,2.705541485,2.2743989237066766E-7,37000.0,0.997466235512914,0.974831562426979,0.9997,0.9924027475716657,0.8734368747499,48.75124378109453,0.9974075338584412,0.9997958975405654,0.9490825688073449,37000.0,508632.0,0.676454100661376,0.323545899338624,37000.0,0.0,241824.0,339773.2936415103
38000.0,2.769294632,2.3584537710505013E-7,38000.0,0.997473343558765,0.9748296272743701,0.9997,0.9924027475716657,0.8734368747499,48.75124378109453,0.9974075338584412,0.9997958975405654,0.9477064220183543,38000.0,509640.0,0.676454100661376,0.323545899338624,38000.0,0.0,242328.0,340486.0572769464
39000.0,2.840962729,2.454089090184701E-7,39000.0,0.9974642857142857,0.9762744291438072,0.9997,0.9923656351791539,0.8734368747499,49.0,0.9973950765747294,0.9997959183673469,0.9463302752293641,39000.0,515816.0,0.676454100661376,0.323545899338624,39000.0,0.0,245416.0,344853.1487575545
40000.0,2.949291089,2.599507744201024E-7,40000.0,0.9974678571428571,0.9762980127367541,0.9997,0.9923656351791539,0.8734368747499,49.0,0.9973950765747294,0.9997959183673469,0.9449541284403726,40000.0,518896.0,0.676454100661376,0.323545899338624,40000.0,0.0,246956.0,347031.03764360904
41000.0,3.06779951,2.7587072613941504E-7,41000.0,0.9974772959183673,0.9762905630297316,0.9997,0.9923656351791539,0.9974678571428571,49.0,0.9973950765747294,0.9997959183673469,0.9435779816513824,41000.0,519272.0,0.676454100661376,0.323545899338624,41000.0,0.0,247144.0,347296.9097933352
42000.0,3.170527126,2.897332531068081E-7,42000.0,1.0,0.9998558307054858,0.9999,0.9926503877655424,0.9974678571428571,146.05882352941177,0.9999496564049319,0.9998993153443415,0.9807339449541306,42000.0,521624.0,0.676454100661376,0.323545899338624,42000.0,0.0,248320.0,348960.02494268597
43000.0,3.242471281,2.994604821647124E-7,43000.0,1.0,1.0,1.0,?,0.9974678571428571,1.7976931348623157E308,?,1.0,1.0,43000.0,522632.0,0.676454100661376,0.323545899338624,43000.0,0.0,248824.0,349672.788578122
44000.0,3.315672205,3.094739827525781E-7,44000.0,0.9997999799979999,0.008261647026837848,0.9999,0.0,0.9974678571428571,9999.0,0.0,1.0,0.9799086757990891,44000.0,528776.0,0.676454100661376,0.323545899338624,44000.0,0.0,251896.0,354017.25264173216
45000.0,3.409075479,3.2225105834123574E-7,45000.0,0.9997999799979999,0.008262915453336905,0.9999,0.0,0.9974678571428571,9999.0,0.0,1.0,0.9794520547945229,45000.0,528776.0,0.676454100661376,0.323545899338624,45000.0,0.0,251896.0,354017.25264173216
46000.0,3.516773229,3.369835429057313E-7,46000.0,0.9997999799979999,0.008263159364422457,0.9999,0.0,0.9974678571428571,9999.0,0.0,1.0,0.9789954337899566,46000.0,528776.0,0.676454100661376,0.323545899338624,46000.0,0.0,251896.0,354017.25264173216
47000.0,3.592372621,3.478073538737992E-7,47000.0,0.9997999599919984,0.02085216310764859,0.9998,0.0,0.9974678571428571,4999.0,0.0,1.0,0.9572727272727317,47000.0,553432.0,0.676454100661376,0.323545899338624,47000.0,0.0,264224.0,371451.6774386676
48000.0,3.657901927,3.572870441343511E-7,48000.0,0.999749949989998,0.020850131230468638,0.9998,0.0,0.9974678571428571,4999.0,0.0,1.0,0.9563636363636416,48000.0,559192.0,0.676454100661376,0.323545899338624,48000.0,0.0,267104.0,375524.6124983022
49000.0,3.758241996,3.7720870352139487E-7,49000.0,0.9998499699939988,0.020852550138814596,0.9998,0.0,0.9974678571428571,4999.0,0.0,1.0,0.9554545454545509,49000.0,771144.0,0.676454100661376,0.323545899338624,49000.0,0.0,373080.0,525397.3089843533
50000.0,3.9163047,4.0062775956641054E-7,50000.0,0.9997749099639855,0.18765008207389422,0.9996,0.3331555081355964,0.9974678571428571,2499.0,0.4999749893704668,0.9998999599839936,0.9099099099099198,50000.0,572720.0,0.676454100661376,0.32354589933862404,50000.0,0.0,273868.0,385090.3530341938
