learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
52000.0,4.017698989,4.0633061902418727E-7,52000.0,0.9999876488969582,0.9336307270563086,0.9996,0.9640846524741226,0.9997749099639855,174.43859649122808,0.9732795801386573,0.9998994267323745,0.9243636363636444,52000.0,695416.0,0.676454100661376,0.32354589933862404,52000.0,0.0,335212.0,471843.8698044089
53000.0,4.138089489,4.282530379598256E-7,53000.0,0.999994995956733,0.9808366227717192,0.9996,0.989943644181997,0.9997749099639855,48.01960784313726,0.9925691594933791,0.999897917517354,0.9497630331753608,53000.0,703880.0,0.676454100661376,0.32354589933862404,53000.0,0.0,339444.0,477828.82160037186
54000.0,4.258107689,4.506148763043102E-7,54000.0,0.9999954746376065,0.9856186798426098,0.9997,0.9924394932645973,0.9997749099639855,48.26108374384236,0.9950109129172617,0.9998979279371236,0.9616113744075873,54000.0,720216.0,0.676454100661376,0.32354589933862404,54000.0,0.0,347612.0,489380.1179778353
55000.0,4.343821758,4.666527426743424E-7,55000.0,0.999994469001519,0.9855500549301281,0.9996,0.9899436391254799,0.9997749099639855,48.26108374384236,0.994960125028965,0.9997958558742472,0.9478672985782048,55000.0,723264.0,0.652979775257421,0.347020224742579,55000.0,0.0,349136.0,491535.3794468919
56000.0,4.439316371,4.846030503054314E-7,56000.0,0.999994469001519,0.9855492371990648,0.9996,0.9899436391254799,0.9997749099639855,48.26108374384236,0.994960125028965,0.9997958558742472,0.9469194312796269,56000.0,726600.0,0.652979775257421,0.347020224742579,56000.0,0.0,350804.0,493894.28766893025
57000.0,4.593526408,5.15741307863382E-7,57000.0,0.997562550865925,0.9717672506554087,0.9994,0.9854755240794013,0.9997749099639855,46.39336492890995,0.9927133933931679,0.9996935335580754,0.9206496519721513,57000.0,780520.0,0.7611447212985463,0.2388552787014537,57000.0,0.0,377764.0,532021.4853105089
58000.0,4.688416955,5.36141298356439E-7,58000.0,0.9975463318678137,0.971701966786171,0.9993,0.9830939762388243,0.9997749099639855,46.39336492890995,0.9926626709961088,0.9995913780774338,0.9058004640371183,58000.0,831016.0,0.741466587043427,0.25853341295657295,58000.0,0.0,403012.0,567727.5493333047
59000.0,4.777955068,5.553905988580609E-7,59000.0,0.9975405220774455,0.9717069360547343,0.9993,0.9830939762388243,0.9997749099639855,46.39336492890995,0.9926626709961088,0.9995913780774338,0.9041763341067244,59000.0,831016.0,0.741466587043427,0.25853341295657295,59000.0,0.0,403012.0,567727.5493333047
60000.0,4.926577828,5.873652480132008E-7,60000.0,0.9975233577951433,0.9776852176437322,0.9995,0.9878114776876924,0.9997749099639855,46.84688995215311,0.9950513304666614,0.9996935961597385,0.9303944315545319,60000.0,831616.0,0.741466587043427,0.25853341295657295,60000.0,0.0,403312.0,568151.8134020166
61000.0,5.065089742,6.188485237606739E-7,61000.0,0.9975268738751885,0.9765558015456915,0.9995,0.9878681412536591,0.9975233577951433,46.61904761904762,0.9950742051566704,0.9996935648621041,0.9293981481481556,61000.0,878608.0,0.7611447212985464,0.2388552787014537,61000.0,0.0,426808.0,601380.1752635349
62000.0,5.19963664,6.49540556494519E-7,62000.0,0.9966832777796112,0.9721240304400133,0.9995,0.9838729862197911,0.9975233577951433,62.69426751592356,0.9934587278711712,0.9996952148735142,0.9282407407407488,62000.0,881768.0,0.7611447212985464,0.2388552787014537,62000.0,0.0,428388.0,603614.6326920844
63000.0,5.348929263,6.844605040173439E-7,63000.0,0.9606699379130783,0.5343691529162751,0.9992,0.7138851535006048,0.9975233577951433,713.2857142857143,0.8449849699487056,0.9995994392149009,0.8844036697247667,63000.0,904144.0,0.7797699378821314,0.22023006211786858,63000.0,0.0,439576.0,619436.8540279146
64000.0,5.506418786,7.224782876680998E-7,64000.0,0.9595648193184745,0.534723539021176,0.9992,0.7138851535006048,0.9975233577951433,713.2857142857143,0.8449849699487056,0.9995994392149009,0.8825688073394462,64000.0,933120.0,0.7797699378821314,0.22023006211786858,64000.0,0.0,454064.0,639925.980119576
65000.0,5.644404235,7.559266007196737E-7,65000.0,0.9592500929873251,0.5348691740259162,0.9993,0.7403907490097483,0.9975233577951433,713.2857142857143,0.8450272943229938,0.9996995794111756,0.8956422018348572,65000.0,937008.0,0.7797699378821314,0.22023006211786858,65000.0,0.0,456008.0,642675.2112848293
66000.0,5.783268915,7.900593714684413E-7,66000.0,0.9590390832880318,0.5349188099742233,0.9993,0.7403907490097483,0.9975233577951433,713.2857142857143,0.8450272943229938,0.9996995794111756,0.8940366972477014,66000.0,950128.0,0.7797699378821314,0.22023006211786858,66000.0,0.0,462568.0,651952.4522539969
